"charger_station","location","approx_coordinates","objectid"
"Circle K Ulricehamn Trucks","Vist Kyrkväg 1, 52337 Ulricehamn","57°48'47.7""N 13°25'9.9""E","107"
"Circle K Varberg Nord Trucks","Gunnestorpsvägen 2, 43248 Varberg","57°10'4.8""N 12°16'34.3""E","70"
"Circle K Floda Trucks","Flodamotet E 20, 44833 Floda","57°48'0.6""N 12°21'58.9""E","74"
"Circle K Docksta Trucks","Dockstavägen 51, 87396 Docksta","63°3'26.9""N 18°20'8.2""E","84"
"Circle K Helsingborg Ättekulla Trucks","Rusthållsgatan 51, 25361 Helsingborg","56°1'1.1""N 12°45'31.4""E","547"
"Circle K Norrfjärden Trucks","Håkingevägen 4, 94591 Norrfjärden","65°24'39.1""N 21°30'23.0""E","546"
"Circle K Uddevalla Hogstorp Trucks","Hogstorp 249 E6, 45195 Uddevalla","58°23'38.6""N 11°45'24.1""E","114"
"Circle K Jokkmokk Trucks","Klippgatan 18, 96232 Jokkmokk","66°36'29.8""N 19°49'40.7""E","87"
"Circle K Orsa Trucks","Lissvägen 2, 79434 Orsa","61°6'55.3""N 14°37'34.1""E","134"
"Circle K Malmö Spillepengen Trucks","Blidögatan 42, 21124 Malmö","55°37'42.0""N 13°2'48.3""E","66"
"Circle K Vädermotet Trucks","Halvorsäng 20, 41878 Göteborg","57°42'24.1""N 11°52'16.1""E","73"
"Circle K Gällivare Trucks","Parkgatan 1, 98231 Gällivare","67°8'17.8""N 20°39'34.4""E","62"
"Circle K EV Storuman Trucks","Terminalvägen 3, 92341 Stensele","65°4'28.9""N 17°7'7.1""E","140"
"Circle K Snapparp Östra Trucks","Snapparp Östra, 31291 Laholm","56°32'28.9""N 12°58'18.4""E","68"
"Circle K Arlandastad Trucks","Cederströms Slinga 21b, 19561 Arlandastad","59°36'20.8""N 17°53'49.6""E","80"
"Circle K Truck Överkalix","Västra Svartbyvägen 101, 95691 Överkalix","66°15'32.0""N 22°49'0.3""E","143"
"Circle K Ljungby Nyponvägen Trucks","Nyponvägen 3, 34132 Ljungby","56°48'45.2""N 13°54'36.9""E","69"
"Circle K Hallstahammar Trucks","Eriksbergsvägen 4, 73492 Hallstahammar","59°35'25.7""N 16°14'54.8""E","129"
"Circle K Eskilstuna Västerleden Trucks","Västerleden 38, 63347 Eskilstuna","59°23'42.5""N 16°28'3.3""E","127"
"Circle K Hova Trucks","Örebrovägen 8, 54832 Hova","58°51'42.3""N 14°13'7.7""E","77"
"Circle K Jönköping Hyltena Trucks","Hyltena 50, 55592 Jönköping","57°39'57.5""N 14°10'56.7""E","72"
"Circle K Järna Trucks","Håknäs 1, 15391 Järna","59°5'20.2""N 17°36'8.1""E","120"
"Scania Sverige Kungens Kurva","Kungens Kurvaleden 5, 14175 Kungens Kurva","59°15'42.2""N 17°54'2.2""E","661"
